,NOMBRE,EDAD,CORREO,TIPO,GRUPO,NIVEL,JORNADA,DIA,HORARIO,SUBMODULO,DOCENTE,MOMENTO,CONOCIMIENTO,DESEMPEÑO,PRODUCTO,BECADO,ESTADO
599,Paula Walker,27,justin72@example.net,REGULAR,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Connie Pace,3,2.9,3.5,3.6,SI,FORMACIÓN
600,Yvonne Velasquez,22,patrick82@example.net,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Christopher Thomas,1,4.4,4.9,4.7,NO,FORMACIÓN
601,Brittany Kirby,26,mcintyrerebecca@example.com,EMPRESARIAL,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Michael Williams,2,4.4,3.1,3.6,NO,FORMACIÓN
602,Melissa Paul,26,coledavid@example.org,EMPRESARIAL,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Erin Smith,3,3.4,3.7,3.5,NO,FORMACIÓN
603,Daniel Zuniga,18,omendoza@example.com,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Christopher Thomas,2,2.8,3.3,3.8,NO,FORMACIÓN
604,Amy Rice,24,tvasquez@example.org,EMPRESARIAL,6,3,TARDE,SABADO,15:00-18:00,Programación para la Web II,Christopher Thomas,1,4.7,4.6,4.2,NO,FORMACIÓN
605,Michele Rodriguez,20,gwilliams@example.com,EMPRESARIAL,17,1,NOCHE,JUEVES,18:15-21:25,Introducción a la Programación,Edward Watson,2,3.5,3.1,2.9,NO,FORMACIÓN
606,Marissa Bradley,22,samanthathomas@example.org,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Emily Villegas,3,3.6,4.6,4.7,SI,FORMACIÓN
607,Amanda Douglas,22,kristinawall@example.org,EMPRESARIAL,10,3,TARDE,SABADO,15:00-18:00,Nuevas Tecnologias de la Programación,Edward Watson,2,4.7,4.6,3.6,SI,FORMACIÓN
608,Robin Torres,19,cburgess@example.org,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Edward Watson,2,4.8,3.9,5.0,NO,FORMACIÓN
609,Lauren Davis,24,sara35@example.com,REGULAR,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Connie Pace,3,4.6,2.8,3.8,SI,FORMACIÓN
610,Robert West,24,melissa82@example.net,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Edward Watson,3,4.8,4.0,4.2,NO,FORMACIÓN
611,Ashley Thompson,21,gpetersen@example.com,EMPRESARIAL,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Anna Cruz,1,3.0,3.5,4.0,NO,FORMACIÓN
612,Debra Hardin,22,mary35@example.org,REGULAR,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Erin Smith,1,4.0,3.0,3.0,NO,FORMACIÓN
613,Bethany Gallegos,22,brettwalker@example.net,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Connie Pace,2,2.9,4.9,2.9,NO,FORMACIÓN
614,John Davis,28,msmith@example.net,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Connie Pace,2,4.4,3.1,3.3,SI,FORMACIÓN
615,Vincent Wood,19,brownmegan@example.org,EMPRESARIAL,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Bradley Jimenez,1,4.9,4.3,4.7,NO,FORMACIÓN
616,Mrs. Tracy Garcia,29,davisveronica@example.net,EMPRESARIAL,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Edward Watson,1,4.0,4.3,4.9,SI,FORMACIÓN
617,Richard White,22,rthompson@example.org,EMPRESARIAL,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Erin Smith,1,2.9,2.9,3.7,SI,FORMACIÓN
618,Morgan Wilson,28,gregoryadams@example.org,REGULAR,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Bradley Jimenez,3,4.3,4.1,5.0,NO,FORMACIÓN
619,Luke Jensen,26,kyleobrien@example.org,REGULAR,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Connie Pace,2,4.9,3.3,3.0,NO,FORMACIÓN
620,Audrey Moore,30,hbarnes@example.net,EMPRESARIAL,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Connie Pace,3,2.9,4.2,4.6,NO,FORMACIÓN
621,Sarah Chen,26,jeffreybutler@example.org,REGULAR,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Erin Smith,2,4.6,4.1,4.8,NO,FORMACIÓN
622,Jennifer Rodriguez,24,jenniferjohnson@example.net,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Anna Cruz,3,3.6,3.4,4.4,SI,FORMACIÓN
623,Briana Roberts,21,thomas80@example.net,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Emily Villegas,1,3.4,4.1,3.7,NO,FORMACIÓN
624,Chris Mcclure,23,fbennett@example.net,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,3,3.0,3.8,3.7,SI,FORMACIÓN
625,Mr. Steven Rodriguez,21,cmason@example.org,EMPRESARIAL,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Connie Pace,2,4.2,4.1,3.5,NO,FORMACIÓN
626,Kristen Rodriguez,24,brittany94@example.net,EMPRESARIAL,15,1,NOCHE,MARTES,18:15-21:25,Lógica de Programación,Raymond Miller,2,3.9,3.1,4.6,SI,FORMACIÓN
627,Kristen Drake,22,darylbutler@example.com,EMPRESARIAL,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Erica Ramirez,1,3.5,3.8,3.3,SI,FORMACIÓN
628,Charles Edwards,27,tperez@example.org,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Connie Pace,3,3.9,4.0,3.6,SI,FORMACIÓN
629,Jennifer Guzman,22,quinneric@example.net,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Emily Villegas,3,4.2,4.3,4.1,SI,FORMACIÓN
630,Teresa Hudson,21,omolina@example.com,EMPRESARIAL,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Erin Smith,1,4.9,4.8,4.6,NO,FORMACIÓN
631,Pamela Brown,22,garciajamie@example.net,REGULAR,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Emily Villegas,2,3.7,4.1,3.2,SI,FORMACIÓN
632,Jacob Stafford DDS,30,johnmueller@example.net,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Connie Pace,2,4.5,4.5,4.4,SI,FORMACIÓN
633,Michael Brooks,26,xdavis@example.org,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Erica Ramirez,1,3.3,4.7,4.7,NO,FORMACIÓN
634,Robin Mcfarland,20,summer52@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Sierra Phillips,3,4.1,3.9,3.9,SI,FORMACIÓN
635,Kristin Ramirez,28,rflores@example.org,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Sierra Phillips,2,4.5,4.2,3.3,SI,FORMACIÓN
636,Bradley Johnson,19,annagillespie@example.com,REGULAR,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Christopher Thomas,3,3.7,3.8,4.7,SI,FORMACIÓN
637,Mrs. Samantha King MD,29,fswanson@example.net,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Connie Pace,3,3.0,4.9,3.8,SI,FORMACIÓN
638,Christopher Green,29,qrichardson@example.net,EMPRESARIAL,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Emily Villegas,3,3.2,3.5,4.3,SI,FORMACIÓN
639,Robin Bridges,20,lisa03@example.org,EMPRESARIAL,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Anna Cruz,3,2.9,3.2,3.2,NO,FORMACIÓN
640,Michael Roberson,20,wbuck@example.com,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Michael Williams,1,3.1,4.7,3.1,SI,FORMACIÓN
641,Justin Fox,25,acruz@example.net,EMPRESARIAL,6,3,TARDE,SABADO,15:00-18:00,Programación para la Web II,Anna Cruz,3,3.6,4.4,3.5,NO,FORMACIÓN
642,Barry Meyer,20,smithmichael@example.com,REGULAR,17,1,NOCHE,JUEVES,18:15-21:25,Introducción a la Programación,Anna Cruz,2,4.2,4.1,4.2,SI,FORMACIÓN
643,Donna Johnson,27,hunteramber@example.org,EMPRESARIAL,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Kathryn Carroll,2,4.3,3.8,3.0,NO,FORMACIÓN
644,Melanie Reynolds,22,thomasmichael@example.com,REGULAR,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Michael Williams,3,3.8,3.2,4.3,NO,FORMACIÓN
645,Karen Young,24,jasonfrench@example.net,REGULAR,27,2,MAÑANA,JUEVES,7:30-10:30,Programación de Aplicaciones Móviles I,Michael Williams,3,4.0,4.1,3.3,SI,FORMACIÓN
646,Jordan Roberts,29,beckjohn@example.com,REGULAR,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Raymond Miller,1,3.6,4.3,3.8,NO,FORMACIÓN
647,Catherine Jackson,20,brian27@example.org,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Raymond Miller,2,4.4,3.3,4.3,NO,FORMACIÓN
648,Andrea Thomas,20,beckyparker@example.org,EMPRESARIAL,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Michael Williams,1,3.3,3.3,3.8,SI,CANCELADO
649,Debra Gardner,21,dawsonsue@example.com,REGULAR,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Christopher Thomas,1,4.6,2.9,4.8,SI,FORMACIÓN
650,Nicolas Berger,19,wharper@example.com,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Kathryn Carroll,3,4.3,3.5,4.3,SI,FORMACIÓN
651,Travis Pennington,19,jcarroll@example.org,EMPRESARIAL,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Emily Villegas,3,3.4,3.9,3.4,SI,FORMACIÓN
652,David Humphrey,22,orojas@example.net,EMPRESARIAL,6,3,TARDE,SABADO,15:00-18:00,Programación para la Web II,Anna Cruz,1,3.0,2.9,3.1,NO,CANCELADO
653,Jasmine Copeland,29,michaelflores@example.net,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Christopher Thomas,2,4.8,3.5,3.6,NO,FORMACIÓN
654,Brian Robinson,18,njohnson@example.org,EMPRESARIAL,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Raymond Miller,1,3.0,3.4,3.0,NO,FORMACIÓN
655,Kevin Liu,23,jasonrush@example.net,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Anna Cruz,1,3.8,3.5,4.6,NO,FORMACIÓN
656,Cheryl Hanna,25,tyler23@example.com,REGULAR,12,1,MAÑANA,SABADO,7:30-10:30,Lógica de Programación,Connie Pace,2,3.3,3.6,3.7,SI,FORMACIÓN
657,Dillon Mccullough,19,lporter@example.com,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Emily Villegas,2,2.9,3.8,2.9,SI,FORMACIÓN
658,Dalton Steele,19,brownjamie@example.net,EMPRESARIAL,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Raymond Miller,3,4.5,4.0,3.8,NO,FORMACIÓN
659,Miranda Cain,29,anthonyruiz@example.net,REGULAR,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Christopher Thomas,1,4.8,3.4,4.4,NO,FORMACIÓN
660,Wendy Cook MD,21,xpalmer@example.com,REGULAR,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Raymond Miller,2,3.6,4.8,3.4,SI,FORMACIÓN
661,Bernard Simmons,25,yraymond@example.net,REGULAR,34,4,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles III,Connie Pace,2,4.8,2.8,3.2,NO,FORMACIÓN
662,Kim Dawson,26,crawforddavid@example.net,REGULAR,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Connie Pace,2,4.6,3.8,4.3,NO,FORMACIÓN
663,Nicolas Bates,24,jgonzales@example.org,EMPRESARIAL,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Christopher Thomas,3,4.6,4.8,4.8,SI,FORMACIÓN
664,Robert Buchanan,21,ashleyjones@example.com,REGULAR,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Erica Ramirez,2,4.1,3.4,3.7,NO,FORMACIÓN
665,Lee Gonzales,19,smithalicia@example.org,EMPRESARIAL,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Kathryn Carroll,2,4.8,4.1,4.8,NO,FORMACIÓN
666,Debra Hardin,22,mary35@example.org,REGULAR,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Erin Smith,3,4.5,4.9,3.1,SI,FORMACIÓN
667,Sara Jordan,23,jack02@example.org,EMPRESARIAL,17,1,NOCHE,JUEVES,18:15-21:25,Introducción a la Programación,Christopher Thomas,3,3.4,3.5,4.0,SI,FORMACIÓN
668,Joyce Lane,29,lorettawood@example.com,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Raymond Miller,1,3.2,4.9,3.9,NO,FORMACIÓN
669,Stacy Rose,21,tracy58@example.org,REGULAR,29,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Edward Watson,1,4.9,4.7,4.7,NO,FORMACIÓN
670,Andrew Butler,30,jeffharper@example.org,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Erin Smith,1,4.4,4.0,3.1,SI,FORMACIÓN
671,Sean Scott,26,butlerkatherine@example.org,REGULAR,17,1,NOCHE,JUEVES,18:15-21:25,Introducción a la Programación,Connie Pace,2,3.8,4.6,3.7,NO,FORMACIÓN
672,Benjamin Floyd,27,xgonzalez@example.org,EMPRESARIAL,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Michael Williams,2,4.6,3.1,4.3,NO,FORMACIÓN
673,John Bridges,18,donnarobinson@example.org,REGULAR,7,2,NOCHE,VIERNES,18:15-21:25,Programación para la Web I,Connie Pace,1,3.1,3.9,4.7,SI,FORMACIÓN
674,Katherine Rodriguez,19,angelabell@example.net,EMPRESARIAL,20,4,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación Avanzada,Erica Ramirez,2,3.2,3.9,5.0,SI,FORMACIÓN
675,Linda Shepard,28,jeffallen@example.net,REGULAR,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Bradley Jimenez,2,4.0,3.5,3.0,NO,FORMACIÓN
676,James Ross,21,erios@example.org,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Emily Villegas,3,4.7,4.6,5.0,SI,FORMACIÓN
677,Lisa Boyd,22,clee@example.net,REGULAR,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Edward Watson,3,3.9,4.3,3.8,NO,FORMACIÓN
678,Shaun Lara,27,johnalexander@example.org,REGULAR,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Edward Watson,3,4.4,3.0,3.4,SI,FORMACIÓN
679,Lisa Elliott,19,elizabeth75@example.net,REGULAR,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Emily Villegas,2,3.2,3.0,4.2,NO,FORMACIÓN
680,Michelle Khan,27,erin45@example.net,EMPRESARIAL,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Connie Pace,3,4.1,4.9,4.1,SI,FORMACIÓN
681,Suzanne Smith,25,whitechad@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Michael Williams,1,4.1,3.2,3.1,NO,FORMACIÓN
682,Amy Richardson,27,kingwesley@example.org,REGULAR,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Connie Pace,3,3.0,3.4,2.9,SI,FORMACIÓN
683,Kristina Mullins,27,grimesnatalie@example.net,REGULAR,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Christopher Thomas,1,3.2,3.3,3.7,NO,FORMACIÓN
684,Christopher Sanders,26,ywinters@example.org,EMPRESARIAL,23,3,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación de Aplicaciones Móviles II,Sierra Phillips,1,4.5,3.3,3.3,SI,FORMACIÓN
685,Brandy Jackson,23,shepherdmarc@example.org,EMPRESARIAL,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Erin Smith,1,3.6,5.0,4.9,NO,FORMACIÓN
686,Julie Hall,23,theresafoster@example.com,EMPRESARIAL,2,2,MAÑANA,MARTES,7:30-10:30,Programación para la Web I,Erica Ramirez,1,3.1,3.9,3.9,NO,FORMACIÓN
687,Margaret Ferrell,29,patricianguyen@example.net,EMPRESARIAL,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Sierra Phillips,3,4.1,3.3,4.8,SI,FORMACIÓN
688,Brian Brown,24,srogers@example.org,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Kathryn Carroll,1,4.7,4.8,4.0,NO,FORMACIÓN
689,Paul Miller,28,gallen@example.com,EMPRESARIAL,36,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Christopher Thomas,3,3.8,4.7,3.0,NO,FORMACIÓN
690,Natalie Sutton,29,megancastillo@example.org,REGULAR,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Raymond Miller,2,3.6,4.5,4.6,SI,FORMACIÓN
691,Rachel Lee,24,bwoods@example.net,EMPRESARIAL,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Michael Williams,1,3.6,4.0,4.9,NO,FORMACIÓN
692,Shelly Rivera,23,rogerarnold@example.com,EMPRESARIAL,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Kathryn Carroll,3,3.6,3.1,2.9,NO,FORMACIÓN
693,Dustin Little,28,taragarrison@example.org,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Erica Ramirez,3,3.2,4.7,3.1,SI,FORMACIÓN
694,Walter Torres,21,johnsonanthony@example.net,REGULAR,32,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Kathryn Carroll,1,3.9,4.2,3.5,SI,FORMACIÓN
695,Rachael Holmes,19,jenniferfrederick@example.net,EMPRESARIAL,30,2,MAÑANA,SABADO,7:30-10:30,Programación para la Web I,Erin Smith,1,4.6,4.6,2.9,SI,FORMACIÓN
696,Evan Roman,25,smithedgar@example.com,REGULAR,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Sierra Phillips,1,4.7,3.0,4.9,NO,FORMACIÓN
697,Linda Vasquez,21,andersonrobert@example.net,REGULAR,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Emily Villegas,3,4.6,3.8,4.5,NO,FORMACIÓN
698,Lauren Harris,23,melanie51@example.org,EMPRESARIAL,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Anna Cruz,3,4.6,4.8,4.3,NO,FORMACIÓN
699,Richard Frey,26,jonathan93@example.com,REGULAR,33,2,NOCHE,VIERNES,18:15-21:25,Programación de Aplicaciones Móviles I,Erin Smith,1,4.3,3.0,3.6,NO,FORMACIÓN
700,Judith Pope,27,pateljennifer@example.com,EMPRESARIAL,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Kathryn Carroll,1,3.3,3.3,3.5,NO,FORMACIÓN
701,Steven Reed,26,hcole@example.net,EMPRESARIAL,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Connie Pace,2,3.2,4.8,3.8,SI,FORMACIÓN
702,Blake Martinez,19,ybaker@example.com,EMPRESARIAL,37,1,NOCHE,JUEVES,18:15-21:25,Lógica de Programación,Christopher Thomas,2,3.0,4.2,4.7,NO,FORMACIÓN
703,Alisha Campbell,21,crystal69@example.net,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Christopher Thomas,2,4.7,4.1,4.7,NO,FORMACIÓN
704,Mrs. Samantha King MD,29,fswanson@example.net,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Connie Pace,2,4.1,3.8,4.0,NO,CANCELADO
705,Albert Long,21,jlevine@example.com,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Emily Villegas,2,3.7,4.0,3.3,NO,CANCELADO
706,Kristin Ramirez,28,rflores@example.org,REGULAR,38,2,NOCHE,MARTES,18:15-21:25,Gestión de Bases de Datos,Sierra Phillips,3,4.1,3.4,4.1,SI,FORMACIÓN
707,Donna Johnson,26,erin67@example.com,REGULAR,1,2,NOCHE,LUNES,18:15-21:25,Gestión de Bases de Datos,Emily Villegas,2,3.0,4.4,4.6,NO,FORMACIÓN
708,Kara Wolfe,25,robert55@example.org,REGULAR,3,3,NOCHE,MARTES,18:15-21:25,Programación para la Web II,Edward Watson,2,4.3,3.6,4.2,NO,FORMACIÓN
709,Monique Archer,23,higginsthomas@example.net,REGULAR,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Michael Williams,3,3.3,4.3,4.9,SI,FORMACIÓN
710,Arthur Ball,19,zarcher@example.net,EMPRESARIAL,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Michael Williams,1,4.5,4.9,3.3,NO,FORMACIÓN
711,Elizabeth Burch,28,simondebbie@example.org,REGULAR,18,3,NOCHE,VIERNES,18:15-21:25,Nuevas Tecnologias de la Programación,Anna Cruz,2,4.2,3.9,3.8,NO,FORMACIÓN
712,Amanda Ferguson,20,mdunn@example.com,REGULAR,28,1,NOCHE,VIERNES,18:15-21:25,Metodologías Ágiles para la Programación,Erica Ramirez,1,4.5,3.8,4.1,SI,FORMACIÓN
713,Brittany Love,18,matthewwarren@example.net,EMPRESARIAL,25,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Christopher Thomas,3,3.2,3.6,4.7,NO,FORMACIÓN
714,Mr. Peter Bailey,25,jamesrobles@example.com,REGULAR,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Sierra Phillips,3,5.0,4.5,3.4,NO,FORMACIÓN
715,James Rice,25,kennethgould@example.net,REGULAR,13,2,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Gestión de Bases de Datos,Michael Williams,2,3.1,3.6,4.7,SI,FORMACIÓN
716,Nicole Smith,22,emily03@example.org,REGULAR,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Erica Ramirez,1,3.7,4.9,3.7,SI,FORMACIÓN
717,Chelsea Williams,18,vgalvan@example.net,REGULAR,9,1,NOCHE,MARTES,18:15-21:25,Introducción a la Programación,Erin Smith,2,3.0,4.6,4.4,NO,FORMACIÓN
718,Joe Black,28,barnettcrystal@example.net,REGULAR,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Sierra Phillips,3,4.4,5.0,3.8,SI,FORMACIÓN
719,Jack Moore,27,stephanieparker@example.net,EMPRESARIAL,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Raymond Miller,2,3.9,4.4,3.1,SI,FORMACIÓN
720,Cynthia Dickson PhD,29,sharonberry@example.com,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Emily Villegas,1,4.0,3.9,3.7,SI,FORMACIÓN
721,Mary Thomas,20,justin28@example.org,EMPRESARIAL,26,3,NOCHE,MIERCOLES,18:15-21:25,Programación de Aplicaciones Móviles II,Edward Watson,3,3.5,4.1,3.8,NO,FORMACIÓN
722,Jeff Moreno,29,sjohnson@example.com,EMPRESARIAL,24,2,TARDE,SABADO,15:00-18:00,Programación para la Web I,Michael Williams,1,4.8,4.7,4.3,SI,FORMACIÓN
723,Randall Gomez,29,brianna42@example.org,REGULAR,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Raymond Miller,1,3.9,4.0,4.5,SI,FORMACIÓN
724,Blake Wilson,23,castillosteven@example.net,EMPRESARIAL,21,2,TARDE,SABADO,15:00-18:00,Programación de Aplicaciones Móviles I,Erica Ramirez,3,4.3,4.3,3.5,NO,FORMACIÓN
725,Robert Munoz,25,robinolson@example.net,REGULAR,19,3,MAÑANA,SABADO,7:30-10:30,Nuevas Tecnologias de la Programación,Connie Pace,3,4.6,3.0,4.4,SI,FORMACIÓN
726,Jennifer Finley,27,ashleyclay@example.com,REGULAR,14,1,MAÑANA,MARTES,7:30-10:30,Lógica de Programación,Kathryn Carroll,3,4.0,4.1,3.5,NO,FORMACIÓN
727,Pam Vega,20,emcintyre@example.net,EMPRESARIAL,20,4,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Programación Avanzada,Edward Watson,2,4.4,3.3,4.8,SI,FORMACIÓN
728,Jennifer Burns,28,arellanomichael@example.org,REGULAR,4,1,NOCHE,MIERCOLES,18:15-21:25,Metodologías Ágiles para la Programación,Bradley Jimenez,3,3.1,4.2,4.6,NO,FORMACIÓN
729,Jade Davis,27,brittanyvance@example.com,EMPRESARIAL,8,1,MAÑANA-TARDE,SABADO,10:30-12:00 13:30-15:00,Metodologías Ágiles para la Programación,Edward Watson,3,3.1,3.7,4.6,NO,FORMACIÓN
730,Casey Barrett DVM,22,david33@example.com,REGULAR,11,3,NOCHE,SABADO,18:15-21:25,Nuevas Tecnologias de la Programación,Raymond Miller,1,4.2,4.6,4.4,NO,FORMACIÓN
731,Brandon Hicks,20,pstuart@example.com,REGULAR,5,3,NOCHE,JUEVES,18:15-21:25,Programación para la Web II,Emily Villegas,3,3.6,5.0,4.0,SI,FORMACIÓN
732,Linda Dorsey,20,schwartzwyatt@example.org,EMPRESARIAL,16,1,MAÑANA,JUEVES,7:30-10:30,Introducción a la Programación,Christopher Thomas,3,4.3,3.1,3.5,SI,FORMACIÓN
733,Christopher Acevedo PhD,19,travis46@example.org,EMPRESARIAL,31,2,MAÑANA,VIERNES,7:30-10:30,Gestión de Bases de Datos,Kathryn Carroll,1,3.0,3.7,3.0,SI,FORMACIÓN
